date,model,alpha,return,sigma2,VaR,ES,period,period_start
2011-10-12,Original GARCHNet,0.025,0.8733705463807772,2.3970789909362793,-3.078779899272112,-3.8480329110851934,Period II,2007-01-01
2011-10-13,Original GARCHNet,0.025,-0.19895377667991324,2.396761178970337,-3.0785656076415218,-3.8477030583333462,Period II,2007-01-01
2011-10-14,Original GARCHNet,0.025,1.6949538097382644,2.4017579555511475,-3.0818473914205353,-3.852257877945958,Period II,2007-01-01
2011-10-17,Original GARCHNet,0.025,-1.9275689955516837,2.393437385559082,-3.076380090952572,-3.844666725833228,Period II,2007-01-01
2011-10-18,Original GARCHNet,0.025,1.9357290087466699,2.4080288410186768,-3.0859598676237514,-3.857959563611849,Period II,2007-01-01
2011-10-19,Original GARCHNet,0.025,-1.1899566641168824,2.393906593322754,-3.0766859168252876,-3.8450750257768043,Period II,2007-01-01
2011-10-20,Original GARCHNet,0.025,0.4365972639690508,2.4052774906158447,-3.084157876770564,-3.8554711427862456,Period II,2007-01-01
2011-10-21,Original GARCHNet,0.025,1.8809311703080418,2.401073932647705,-3.0813951968197,-3.8516114614515415,Period II,2007-01-01
2011-10-24,Original GARCHNet,0.025,1.2186446402285758,2.3921327590942383,-3.075523329948808,-3.843485436363861,Period II,2007-01-01
2011-10-25,Original GARCHNet,0.025,-1.9635255461081464,2.3935976028442383,-3.076489129744807,-3.8448399030622893,Period II,2007-01-01
2011-10-26,Original GARCHNet,0.025,1.0107221430194213,2.4083290100097656,-3.086156118294858,-3.8582289011090403,Period II,2007-01-01
2011-10-27,Original GARCHNet,0.025,3.4242080982544705,2.3990137577056885,-3.08004132749965,-3.8497263521843843,Period II,2007-01-01
2011-10-28,Original GARCHNet,0.025,-0.023324478600182927,2.381934881210327,-3.0688113027252424,-3.8341925203967135,Period II,2007-01-01
2011-10-31,Original GARCHNet,0.025,-2.440110069292053,2.397286891937256,-3.0789168280747314,-3.8482248699867703,Period II,2007-01-01
2011-11-01,Original GARCHNet,0.025,-2.828471383858199,2.4107697010040283,-3.0877528808188592,-3.8604294023743293,Period II,2007-01-01
2011-11-02,Original GARCHNet,0.025,1.6179855229439513,2.4152653217315674,-3.090690663017448,-3.8644710495209935,Period II,2007-01-01
2011-11-03,Original GARCHNet,0.025,1.8063168192773142,2.3974483013153076,-3.079011431245519,-3.848288030587482,Period II,2007-01-01
2011-11-04,Original GARCHNet,0.025,-0.6117658080253967,2.4917471408843994,-3.149967045857196,-4.024433582671709,Period II,2007-01-01
2011-11-07,Original GARCHNet,0.025,0.6196879783561348,2.504101514816284,-3.1579209937016466,-4.036355588330211,Period II,2007-01-01
2011-11-08,Original GARCHNet,0.025,1.2749012855056312,2.500123977661133,-3.155368282012781,-4.032592770744318,Period II,2007-01-01
2011-11-09,Original GARCHNet,0.025,-3.7607949922965935,2.495551109313965,-3.1524212177525377,-4.028142572131928,Period II,2007-01-01
2011-11-10,Original GARCHNet,0.025,0.9374531373710209,2.5174856185913086,-3.1665075802451343,-4.049165175029159,Period II,2007-01-01
2011-11-11,Original GARCHNet,0.025,1.8647475836618268,2.5010666847229004,-3.1559807531266646,-4.033577154521175,Period II,2007-01-01
2011-11-14,Original GARCHNet,0.025,-0.951938462996258,2.4921975135803223,-3.150259345886308,-4.024893309222338,Period II,2007-01-01
2011-11-15,Original GARCHNet,0.025,0.4929665261295321,2.505815029144287,-3.159022551219352,-4.038008097492581,Period II,2007-01-01
2011-11-16,Original GARCHNet,0.025,-1.5990107007195373,2.5011627674102783,-3.156037648294954,-4.033607252392067,Period II,2007-01-01
2011-11-17,Original GARCHNet,0.025,-1.6004250782027263,2.510356903076172,-3.1619437357478093,-4.042429369017229,Period II,2007-01-01
2011-11-18,Original GARCHNet,0.025,-0.10651584546348021,2.512117385864258,-3.1630782449346033,-4.044181062428612,Period II,2007-01-01
2011-11-21,Original GARCHNet,0.025,-1.9202705822494954,2.5055134296417236,-3.158838739041002,-4.037845659445679,Period II,2007-01-01
2011-11-22,Original GARCHNet,0.025,-0.3935539588244083,2.512584686279297,-3.16337530370828,-4.044594273442362,Period II,2007-01-01
2011-11-23,Original GARCHNet,0.025,-2.2312738036471798,2.5070688724517822,-3.159838476322274,-4.0393467941312995,Period II,2007-01-01
2011-11-25,Original GARCHNet,0.025,-0.18892339364911,2.514134407043457,-3.1643696563525476,-4.046085855099799,Period II,2007-01-01
2011-11-28,Original GARCHNet,0.025,2.8555236610433044,2.5064077377319336,-3.159414482016484,-4.038720290529128,Period II,2007-01-01
2011-11-29,Original GARCHNet,0.025,0.28362044725834423,2.486975908279419,-3.1468909470626096,-4.019841316051003,Period II,2007-01-01
2011-11-30,Original GARCHNet,0.025,4.032536892293411,2.4986743927001953,-3.154427352109055,-4.03109319034778,Period II,2007-01-01
2011-12-01,Original GARCHNet,0.025,-0.015999874525770223,2.4768550395965576,-3.140342794927127,-4.009935171190468,Period II,2007-01-01
2011-12-02,Original GARCHNet,0.025,-0.08806037437761391,2.498187780380249,-3.1541090588607443,-4.030559885553397,Period II,2007-01-01
2011-12-05,Original GARCHNet,0.025,1.0833311305441844,2.5663442611694336,-3.201386971000563,-4.23536868296752,Period II,2007-01-01
2011-12-06,Original GARCHNet,0.025,0.03168640314494092,2.560920476913452,-3.198036532431187,-4.229413147853565,Period II,2007-01-01
2011-12-07,Original GARCHNet,0.025,0.3715575724058595,2.5654549598693848,-3.200838402007848,-4.234374983592086,Period II,2007-01-01
2011-12-08,Original GARCHNet,0.025,-2.2180631722513984,2.5645458698272705,-3.2002763409750985,-4.233407306128479,Period II,2007-01-01
2011-12-09,Original GARCHNet,0.025,1.6800443984299855,2.5758798122406006,-3.20726450977971,-4.245825285024229,Period II,2007-01-01
2011-12-12,Original GARCHNet,0.025,-1.4705003659321119,2.5593340396881104,-3.197054458623699,-4.2277184120819,Period II,2007-01-01
2011-12-13,Original GARCHNet,0.025,-0.9382872547278114,2.5720741748809814,-3.2049215120383714,-4.2416236666987235,Period II,2007-01-01
2011-12-14,Original GARCHNet,0.025,-1.0703196119725815,2.57189679145813,-3.2048094598276133,-4.241538692063224,Period II,2007-01-01
2011-12-15,Original GARCHNet,0.025,0.3607764201080332,2.5724246501922607,-3.205134771890446,-4.242115104739334,Period II,2007-01-01
2011-12-16,Original GARCHNet,0.025,-0.48406705295579816,2.565829038619995,-3.201067386973803,-4.234868263143514,Period II,2007-01-01
2011-12-19,Original GARCHNet,0.025,-1.0749197572835998,2.568807363510132,-3.202906170969122,-4.238095205762851,Period II,2007-01-01
2011-12-20,Original GARCHNet,0.025,2.981139092228546,2.571964740753174,-3.204852047823786,-4.241584642709648,Period II,2007-01-01
2010-12-22,GARCHNet++,0.025,0.31054640754708324,0.888934850692749,-1.8632299840508124,-2.2731875931102237,Period II,2007-01-01
2010-12-23,GARCHNet++,0.025,-0.14320975249110487,0.8844746351242065,-1.8585323236855886,-2.26738819210167,Period II,2007-01-01
2010-12-27,GARCHNet++,0.025,0.03980342481033424,0.8802753686904907,-1.854101774639544,-2.2619306812109743,Period II,2007-01-01
2010-12-28,GARCHNet++,0.025,0.14315280222058227,0.8761088252067566,-1.849694415517917,-2.256498332499739,Period II,2007-01-01
2010-12-29,GARCHNet++,0.025,0.07149659719904494,0.8733629584312439,-1.8467814885081255,-2.252897757609941,Period II,2007-01-01
2010-12-30,GARCHNet++,0.025,-0.15895484886163214,0.8708189725875854,-1.844078578770878,-2.2495565708724783,Period II,2007-01-01
2010-12-31,GARCHNet++,0.025,0.0238587340784555,0.8680362701416016,-1.8411182881580033,-2.245900247351883,Period II,2007-01-01
2011-01-03,GARCHNet++,0.025,1.0284924806456492,0.8660017251968384,-1.838950266906899,-2.243220032022308,Period II,2007-01-01
2011-01-04,GARCHNet++,0.025,-0.05511136072903331,0.8783521056175232,-1.852054351130207,-2.259351401091646,Period II,2007-01-01
2011-01-05,GARCHNet++,0.025,0.5184176449207462,0.8773500919342041,-1.8509993558525826,-2.258071064441181,Period II,2007-01-01
2011-01-06,GARCHNet++,0.025,-0.19605542977314794,0.8783778548240662,-1.8520871491121451,-2.259413493091641,Period II,2007-01-01
2011-01-07,GARCHNet++,0.025,-0.19644056228539014,0.8769211769104004,-1.8505497349608213,-2.2575338494733255,Period II,2007-01-01
2011-01-10,GARCHNet++,0.025,-0.12592165286221443,0.8749918341636658,-1.8485090037949246,-2.255029136872301,Period II,2007-01-01
2011-01-11,GARCHNet++,0.025,0.3537576440023422,0.8725987076759338,-1.845971270716426,-2.251901507476556,Period II,2007-01-01
2011-01-12,GARCHNet++,0.025,0.8984096335089451,0.8716797828674316,-1.8449924005879037,-2.2506814983092074,Period II,2007-01-01
2011-01-13,GARCHNet++,0.025,-0.1634611894315131,0.8801434636116028,-1.8539510207739864,-2.2617005123215095,Period II,2007-01-01
2011-01-14,GARCHNet++,0.025,0.7218628320147511,0.8789399266242981,-1.8526832213536177,-2.260154702960996,Period II,2007-01-01
2011-01-18,GARCHNet++,0.025,0.17000329763009425,0.8827612400054932,-1.8567164071093523,-2.2651146209061386,Period II,2007-01-01
2011-01-19,GARCHNet++,0.025,-0.9853858305382115,0.8804687261581421,-1.8542993876821336,-2.2621482780856303,Period II,2007-01-01
2011-01-20,GARCHNet++,0.025,-0.13264010662401665,0.8993840217590332,-1.8741708553579175,-2.286621834467376,Period II,2007-01-01
2011-01-21,GARCHNet++,0.025,0.22615980751737275,1.0272456407546997,-2.003454457182112,-2.4462781653840526,Period II,2007-01-01
2011-01-24,GARCHNet++,0.025,0.5670664070208581,1.021179437637329,-1.9975124519830219,-2.4389525130228735,Period II,2007-01-01
2011-01-25,GARCHNet++,0.025,0.054200693836145,1.0227391719818115,-1.999033585399473,-2.440794874222053,Period II,2007-01-01
2011-01-26,GARCHNet++,0.025,0.38633953715288855,1.0170087814331055,-1.9934111777804426,-2.4338734869759255,Period II,2007-01-01
2011-01-27,GARCHNet++,0.025,0.24648192383741713,1.0140050649642944,-1.9904534693833613,-2.43021560483209,Period II,2007-01-01
2011-01-28,GARCHNet++,0.025,-1.7617189274053888,1.009238362312317,-1.9857550012135756,-2.424421573493593,Period II,2007-01-01
2011-01-31,GARCHNet++,0.025,0.7488268048510469,1.1392192840576172,-2.110140774479279,-2.5778106124174283,Period II,2007-01-01
2011-02-01,GARCHNet++,0.025,1.5882014747780775,1.1532939672470093,-2.1232146433347348,-2.5940972483268547,Period II,2007-01-01
2011-02-02,GARCHNet++,0.025,-0.19140226299316068,1.2080131769180298,-2.1731361754910434,-2.655636209565842,Period II,2007-01-01
2011-02-03,GARCHNet++,0.025,0.22198752285183318,1.2075735330581665,-2.172776509482229,-2.6553405644717802,Period II,2007-01-01
2011-02-04,GARCHNet++,0.025,0.2825146975337663,1.1959679126739502,-2.162287455662045,-2.6424299281864196,Period II,2007-01-01
2011-02-07,GARCHNet++,0.025,0.6232973504143775,1.184329867362976,-2.1517098659224034,-2.629378333737089,Period II,2007-01-01
2011-02-08,GARCHNet++,0.025,0.45362297801004947,1.1803163290023804,-2.148044447194358,-2.6248334267517546,Period II,2007-01-01
2011-02-09,GARCHNet++,0.025,-0.2265542719678451,1.1722320318222046,-2.1406496619712403,-2.615693446909584,Period II,2007-01-01
2011-02-10,GARCHNet++,0.025,0.037796628868440124,1.1603995561599731,-2.1297871530557932,-2.6022950101827056,Period II,2007-01-01
