date,model,alpha,return,sigma2,VaR,ES
2024-11-05,EGARCH,0.025,1.2019254145644385,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-11-06,EGARCH,0.025,2.4561438046209703,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-11-07,EGARCH,0.025,0.7702406032089402,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-11-08,EGARCH,0.025,0.4322367453619879,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-11-11,EGARCH,0.025,0.09524330364589736,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-11-12,EGARCH,0.025,-0.31112302807517545,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-11-13,EGARCH,0.025,0.048568872785536045,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-11-14,EGARCH,0.025,-0.6450921838880147,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-11-15,EGARCH,0.025,-1.2891325577101638,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-11-18,EGARCH,0.025,0.40889815284696096,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-11-19,EGARCH,0.025,0.36488026509003274,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-11-20,EGARCH,0.025,0.033877407014199674,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-11-21,EGARCH,0.025,0.5353945004731208,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-11-22,EGARCH,0.025,0.30946170222222014,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-11-25,EGARCH,0.025,0.3386343115840129,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-11-26,EGARCH,0.025,0.5207902033243619,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-11-27,EGARCH,0.025,-0.3034662783830275,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-11-29,EGARCH,0.025,0.619284918482512,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-12-02,EGARCH,0.025,0.17908063224980328,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-12-03,EGARCH,0.025,0.046370020343766874,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-12-04,EGARCH,0.025,0.6190335088049891,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-12-05,EGARCH,0.025,-0.16470127648157315,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-12-06,EGARCH,0.025,0.18938710475220277,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
